id,name,processType,technology,geographicalLocation,dataAcquisition,status,source,sourceDatabase,referenceYear
PROC_ZINC_PRIMARY,Special high grade zinc; production mix; at plant; primary production,RawMaterialProduction,The production is devided into two major steps; the production of zinc concentrate and the subsequent zinc smelting. The zinc concentrate production i,GLO,background LCI dataset (secondary data ILCD),reference,IDEMAT,IDEMAT (TU Delft),2005
PROC_LEAD_PRIMARY,Lead; consumption mix; at plant; primary,RawMaterialProduction,The common process chain used for the dataset is from mining via ore dressing; roasting; melting and refining. The mining is a mi out of open cast and,DE,background LCI dataset (secondary data ILCD),reference,IDEMAT,IDEMAT (TU Delft),2002
PROC_WASTE_INCINERATION_MSW,Waste incineration of biodegradable waste fraction in municipal solid waste (MSW); at plant; average European waste-to-energy plant; without collection; transport and pre-treatment,EndOfLife,waste-to-energy incineration,EU-27,background LCI dataset (secondary data ILCD/GaBi),reference,,,
PROC_LEAD_SHEET_SECONDARY,Lead sheet mix; production mix; at producer; technology mix; secondary,RawMaterialProduction,Foreground system:			 The system boundaries comprise the cradle to grave life cycle of 80% of the production volume in the region EU-27; in the year 2,EU-27,background LCI dataset (secondary data ILCD),reference,IDEMAT,IDEMAT (TU Delft),2012
PROC_LEAD_PRIMSEC_MIX,Lead primary and secondary mix ; production mix; at producer; technology mix; primary 46% /  secondary 54%,RawMaterialProduction,Foreground system:			 The system boundaries comprise the cradle to gate life cycle of 80% of used technologies of ILA member companies in the year 200,EU-27,background LCI dataset (secondary data ILCD),reference,IDEMAT,IDEMAT (TU Delft),2011
PROC_STEEL_TINPLATE,Steel tinplate without EoL recycling  (collection year 2012/2013); European; production mix; at plant; blast furnace route; 1kg; typical thickness between 0.13 - 0.49 mm. typical width between 600 - 1100 mm.,RawMaterialProduction,This dataset includes raw material extraction (e.g. coal; iron; ore; etc.) and processing; e.g. coke making; sinter; blast furnace; basic oxygen furna,RER,background LCI dataset (secondary data ILCD),reference,IDEMAT,IDEMAT (TU Delft),2012
PROC_SCREW_GALVANIZED,Fixing material screws galvanized (EN15804 A1-A3),RawMaterialProduction,The life cycle analysis of steel screws contains all material and energetic needs for the production of a steel billet (with alloying elements) and it,RER,background LCI dataset (secondary data ILCD),reference,Sphera,Sphera Managed LCA Content (MLC),2024
PROC_SCREW_STAINLESS,Fixing material screws stainless steel (EN15804 A1-A3),RawMaterialProduction,The life cycle analysis of stainless steel screws contains all material and energetic needs for the production of secondary stainless steel and the ne,RER,background LCI dataset (secondary data ILCD),reference,Sphera,Sphera Managed LCA Content (MLC),2024
PROC_ADHESIVE_TPU,Thermoplastic polyurethane (TPU; TPE-U) adhesive,RawMaterialProduction,Foreground system: Thermoplastic adhesives are high-molecular weight adhesives commonly available in solvent-based and hot melt systems The polymer ch,DE,background LCI dataset (secondary data ILCD),reference,Sphera,Sphera Managed LCA Content (MLC),2024
PROC_ALU_CAST_MACHINING,Aluminium cast machining,Manufacturing,Machining of an aluminium cast blank in a machining centerÂ Â ,DE,background LCI dataset (secondary data ILCD),reference,Sphera,Sphera Managed LCA Content (MLC),2023
PROC_ALU_EXTRUSION_CN,Aluminium extrusion profile,RawMaterialProduction,Aluminium semi-finished sheet product; including primary production; transformation and recycling. Aluminum profiles are produced by an extrusion proc,CN,background LCI dataset (secondary data ILCD),reference,Sphera,Sphera Managed LCA Content (MLC),2024
PROC_ALU_SHEET_MIX_PRIMARY,Aluminium sheet mix primary,RawMaterialProduction,Aluminium sheets are produced through the rolling process. Sheets are produced from aluminium ingots called slabs (usually rectangularshape) which are,RER,background LCI dataset (secondary data ILCD),reference,Sphera,Sphera Managed LCA Content (MLC),2024
PROC_ALU_EXTRUSION_OPENINPUT_DE,Aluminium extrusion profile - open input aluminium ingot,RawMaterialProduction,Aluminium profiles are produced through the extrusion process. These profiles are produced from aluminium ingots called billets (usually cylinders) wh,DE,background LCI dataset (secondary data ILCD),reference,Sphera,Sphera Managed LCA Content (MLC),2024
PROC_ALU_INGOT_MIX_CONSUMPTION,Aluminium ingot mix - consumption mix,RawMaterialProduction,The common raw material for aluminium production; bauxite is composed primarily of one or more aluminium hydroxide compounds; plus silica; iron and ti,RER,background LCI dataset (secondary data ILCD),reference,Sphera,Sphera Managed LCA Content (MLC),2024
PROC_ALU_SHEET_STAMPING,Aluminium sheet deep drawing and stamping (adjustable),Manufacturing,There are existing several types of deep drawing machines. Dependend on the size of the parts to be produced and the amount of deep drawing steps; sin,DE,background LCI dataset (secondary data ILCD),reference,Sphera,Sphera Managed LCA Content (MLC),2023
PROC_STEEL_FORGED_COMPONENT,Steel forged component (EN15804 A1-A3),Manufacturing,The data set represents the steel production in Germany based on the main production steps which take place within an integrated steel plant. These pr,RER,background LCI dataset (secondary data ILCD),reference,Sphera,Sphera Managed LCA Content (MLC),2024
PROC_STEEL_SHEET_075MM_HDA,Steel sheet 0.75mm HDA (0.02mm Al; 2sides),RawMaterialProduction,The data set represents the steel production in Germany based on the main production steps which take place within an integrated steel plant. These pr,DE,background LCI dataset (secondary data ILCD),reference,Sphera,Sphera Managed LCA Content (MLC),2024
PROC_STEEL_COLD_ROLL_STAINLESS,Stainless steel cold roll,RawMaterialProduction,Foreground system: The data set represents the stainless steel production in Germany based on the main production steps which take place within an ele,DE,background LCI dataset (secondary data ILCD),reference,Sphera,Sphera Managed LCA Content (MLC),2024
PROC_ELECTRICITY_GREEN_GRID_MIX_DE,Green electricity grid mix (production mix) (2021),RawMaterialProduction,Foreground system: The national or regional specific green electricity consumption mix is provided by the conversion of the different energy carriers ,DE,background LCI dataset (secondary data ILCD),reference,Sphera,Sphera Managed LCA Content (MLC),2021
PROC_ELECTRICITY_GRID_MIX_CN,Electricity grid mix,RawMaterialProduction,Foreground system: The national or regional specific electricity consumption mix is provided by the conversion of the different energy carriers to ele,CN,background LCI dataset (secondary data ILCD),reference,Sphera,Sphera Managed LCA Content (MLC),2021
PROC_PA66_GRANULATE_MIX,Polyamide 6.6 granulate (PA 6.6) mix,RawMaterialProduction,Nylon 6.6 granulate is produced from hexamethylene diamine and adipic acid via AH-salt. The first stage is the preparation of pure AH salt (salt from ,DE,background LCI dataset (secondary data ILCD),reference,Sphera,Sphera Managed LCA Content (MLC),2024
PROC_PA6_GF30_WASTE_INCINERATION,Polyamide (PA) 6 GF30 (4.5% H2O) in waste incineration plant,EndOfLife,The data set represents the incineration of polyamide (PA) 6 GF30 waste with a net calorific value (NCV) of 20.5 MJ/kg. The incineration is done in wa,DE,background LCI dataset (secondary data ILCD),reference,Sphera,Sphera Managed LCA Content (MLC),2024
